                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9046,                 2.6504,                 1.4545,                 0.4228,                0.36617,                0.30767,                0.12219,                 2.0335,                 8.7859,                 1.7769,                 0.0905,                 0.0005,                 0.0005
                      2,                  1.622,                 1.6892,                  1.295,                0.23004,                0.68687,                0.47104,                0.20497,                 1.6784,                 11.379,                 1.5957,                0.08004,              0.0010396,              0.0010396
                      3,                 1.6148,                 1.5622,                 1.2755,                0.48263,                 0.4188,                0.45598,                 0.2099,                 1.7923,                 5.3974,                 1.6509,               0.069568,              0.0015683,              0.0015683
                      4,                 1.5276,                 1.4938,                 1.2317,                0.32605,                0.46691,                0.20036,                0.09173,                 2.1599,                  9.343,                 1.9268,               0.059086,              0.0020861,              0.0020861
                      5,                 1.6117,                 1.5035,                 1.2436,                0.30378,                0.45606,                0.22901,                0.08384,                 2.3521,                 15.464,                 2.2401,               0.048593,              0.0025931,              0.0025931
                      6,                 1.5292,                 1.3546,                 1.2402,                0.42689,                0.45228,                  0.356,                0.16398,                 2.1538,                 6.3734,                 2.0061,               0.038089,              0.0030891,              0.0030891
                      7,                 1.5717,                 1.3075,                  1.218,                0.55199,                0.37272,                0.40912,                0.18235,                 2.2625,                 3.1137,                  1.927,               0.027574,              0.0035743,              0.0035743
                      1,                 1.9051,                  2.771,                 1.5073,                  0.614,                0.08621,                0.07765,                0.03626,                 1.9107,                 11.068,                  1.581,                0.09005,                  5e-05,                  5e-05
                      2,                 1.6187,                 1.7978,                 1.3406,                0.36238,                0.52642,                0.38867,                0.18391,                 1.7301,                  3.205,                 1.4363,               0.079104,             0.00010396,             0.00010396
                      3,                 1.6086,                  1.661,                 1.2927,                0.48306,                0.54673,                0.49378,                0.26387,                 1.7915,                  2.133,                 1.5242,               0.068157,             0.00015683,             0.00015683
                      4,                 1.4316,                 1.3753,                 1.2125,                 0.6014,                0.59288,                0.58092,                 0.3158,                  1.511,                 2.0999,                  1.385,               0.057209,             0.00020861,             0.00020861
                      5,                 1.4648,                 1.4257,                 1.2112,                0.41801,                0.56452,                0.45952,                0.15324,                 2.1546,                 2.1786,                 1.8639,               0.046259,             0.00025931,             0.00025931
